survey_var,evioni_var,description,test,values,notes
CPWD_A.CPWD_TRIAL000001_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000001_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000001_CORR,CPWD.q1_corr,Response correct for trial 1,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000002_RESP,CPWD.q2_resp,Response for trial 2,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000002_TTR,CPWD.q2_ttr,Time to respond (ms) for trial 2,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000002_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000002_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000002_CORR,CPWD.q2_corr,Response correct for trial 2,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000003_RESP,CPWD.q3_resp,Response for trial 3,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000003_TTR,CPWD.q3_ttr,Time to respond (ms) for trial 3,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000003_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000003_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000003_CORR,CPWD.q3_corr,Response correct for trial 3,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000004_RESP,CPWD.q4_resp,Response for trial 4,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000004_TTR,CPWD.q4_ttr,Time to respond (ms) for trial 4,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000004_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000004_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000004_CORR,CPWD.q4_corr,Response correct for trial 4,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000005_RESP,CPWD.q5_resp,Response for trial 5,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000005_TTR,CPWD.q5_ttr,Time to respond (ms) for trial 5,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000005_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000005_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000005_CORR,CPWD.q5_corr,Response correct for trial 5,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000006_RESP,CPWD.q6_resp,Response for trial 6,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000006_TTR,CPWD.q6_ttr,Time to respond (ms) for trial 6,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000006_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000006_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000006_CORR,CPWD.q6_corr,Response correct for trial 6,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000007_RESP,CPWD.q7_resp,Response for trial 7,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000007_TTR,CPWD.q7_ttr,Time to respond (ms) for trial 7,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000007_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000007_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000007_CORR,CPWD.q7_corr,Response correct for trial 7,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000008_RESP,CPWD.q8_resp,Response for trial 8,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000008_TTR,CPWD.q8_ttr,Time to respond (ms) for trial 8,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000008_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000008_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000008_CORR,CPWD.q8_corr,Response correct for trial 8,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000009_RESP,CPWD.q9_resp,Response for trial 9,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000009_TTR,CPWD.q9_ttr,Time to respond (ms) for trial 9,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000009_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000009_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000009_CORR,CPWD.q9_corr,Response correct for trial 9,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000010_RESP,CPWD.q10_resp,Response for trial 10,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000010_TTR,CPWD.q10_ttr,Time to respond (ms) for trial 10,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000010_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000010_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000010_CORR,CPWD.q10_corr,Response correct for trial 10,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000011_RESP,CPWD.q11_resp,Response for trial 11,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000011_TTR,CPWD.q11_ttr,Time to respond (ms) for trial 11,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000011_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000011_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000011_CORR,CPWD.q11_corr,Response correct for trial 11,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000012_RESP,CPWD.q12_resp,Response for trial 12,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000012_TTR,CPWD.q12_ttr,Time to respond (ms) for trial 12,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000012_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000012_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000012_CORR,CPWD.q12_corr,Response correct for trial 12,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000013_RESP,CPWD.q13_resp,Response for trial 13,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000013_TTR,CPWD.q13_ttr,Time to respond (ms) for trial 13,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000013_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000013_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000013_CORR,CPWD.q13_corr,Response correct for trial 13,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000014_RESP,CPWD.q14_resp,Response for trial 14,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000014_TTR,CPWD.q14_ttr,Time to respond (ms) for trial 14,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000014_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000014_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000014_CORR,CPWD.q14_corr,Response correct for trial 14,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000015_RESP,CPWD.q15_resp,Response for trial 15,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000015_TTR,CPWD.q15_ttr,Time to respond (ms) for trial 15,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000015_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000015_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000015_CORR,CPWD.q15_corr,Response correct for trial 15,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000016_RESP,CPWD.q16_resp,Response for trial 16,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000016_TTR,CPWD.q16_ttr,Time to respond (ms) for trial 16,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000016_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000016_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000016_CORR,CPWD.q16_corr,Response correct for trial 16,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000017_RESP,CPWD.q17_resp,Response for trial 17,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000017_TTR,CPWD.q17_ttr,Time to respond (ms) for trial 17,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000017_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000017_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000017_CORR,CPWD.q17_corr,Response correct for trial 17,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000018_RESP,CPWD.q18_resp,Response for trial 18,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000018_TTR,CPWD.q18_ttr,Time to respond (ms) for trial 18,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000018_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000018_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000018_CORR,CPWD.q18_corr,Response correct for trial 18,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000019_RESP,CPWD.q19_resp,Response for trial 19,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000019_TTR,CPWD.q19_ttr,Time to respond (ms) for trial 19,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000019_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000019_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000019_CORR,CPWD.q19_corr,Response correct for trial 19,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000020_RESP,CPWD.q20_resp,Response for trial 20,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000020_TTR,CPWD.q20_ttr,Time to respond (ms) for trial 20,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000020_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000020_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000020_CORR,CPWD.q20_corr,Response correct for trial 20,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000021_RESP,CPWD.q21_resp,Response for trial 21,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000021_TTR,CPWD.q21_ttr,Time to respond (ms) for trial 21,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000021_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000021_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000021_CORR,CPWD.q21_corr,Response correct for trial 21,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000022_RESP,CPWD.q22_resp,Response for trial 22,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000022_TTR,CPWD.q22_ttr,Time to respond (ms) for trial 22,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000022_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000022_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000022_CORR,CPWD.q22_corr,Response correct for trial 22,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000023_RESP,CPWD.q23_resp,Response for trial 23,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000023_TTR,CPWD.q23_ttr,Time to respond (ms) for trial 23,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000023_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000023_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000023_CORR,CPWD.q23_corr,Response correct for trial 23,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000024_RESP,CPWD.q24_resp,Response for trial 24,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000024_TTR,CPWD.q24_ttr,Time to respond (ms) for trial 24,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000024_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000024_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000024_CORR,CPWD.q24_corr,Response correct for trial 24,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000025_RESP,CPWD.q25_resp,Response for trial 25,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000025_TTR,CPWD.q25_ttr,Time to respond (ms) for trial 25,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000025_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000025_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000025_CORR,CPWD.q25_corr,Response correct for trial 25,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000026_RESP,CPWD.q26_resp,Response for trial 26,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000026_TTR,CPWD.q26_ttr,Time to respond (ms) for trial 26,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000026_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000026_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000026_CORR,CPWD.q26_corr,Response correct for trial 26,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000027_RESP,CPWD.q27_resp,Response for trial 27,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000027_TTR,CPWD.q27_ttr,Time to respond (ms) for trial 27,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000027_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000027_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000027_CORR,CPWD.q27_corr,Response correct for trial 27,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000028_RESP,CPWD.q28_resp,Response for trial 28,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000028_TTR,CPWD.q28_ttr,Time to respond (ms) for trial 28,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000028_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000028_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000028_CORR,CPWD.q28_corr,Response correct for trial 28,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000029_RESP,CPWD.q29_resp,Response for trial 29,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000029_TTR,CPWD.q29_ttr,Time to respond (ms) for trial 29,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000029_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000029_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000029_CORR,CPWD.q29_corr,Response correct for trial 29,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000030_RESP,CPWD.q30_resp,Response for trial 30,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000030_TTR,CPWD.q30_ttr,Time to respond (ms) for trial 30,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000030_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000030_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000030_CORR,CPWD.q30_corr,Response correct for trial 30,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000031_RESP,CPWD.q31_resp,Response for trial 31,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000031_TTR,CPWD.q31_ttr,Time to respond (ms) for trial 31,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000031_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000031_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000031_CORR,CPWD.q31_corr,Response correct for trial 31,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000032_RESP,CPWD.q32_resp,Response for trial 32,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000032_TTR,CPWD.q32_ttr,Time to respond (ms) for trial 32,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000032_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000032_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000032_CORR,CPWD.q32_corr,Response correct for trial 32,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000033_RESP,CPWD.q33_resp,Response for trial 33,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000033_TTR,CPWD.q33_ttr,Time to respond (ms) for trial 33,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000033_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000033_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000033_CORR,CPWD.q33_corr,Response correct for trial 33,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000034_RESP,CPWD.q34_resp,Response for trial 34,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000034_TTR,CPWD.q34_ttr,Time to respond (ms) for trial 34,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000034_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000034_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000034_CORR,CPWD.q34_corr,Response correct for trial 34,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000035_RESP,CPWD.q35_resp,Response for trial 35,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000035_TTR,CPWD.q35_ttr,Time to respond (ms) for trial 35,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000035_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000035_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000035_CORR,CPWD.q35_corr,Response correct for trial 35,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000036_RESP,CPWD.q36_resp,Response for trial 36,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000036_TTR,CPWD.q36_ttr,Time to respond (ms) for trial 36,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000036_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000036_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000036_CORR,CPWD.q36_corr,Response correct for trial 36,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000037_RESP,CPWD.q37_resp,Response for trial 37,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000037_TTR,CPWD.q37_ttr,Time to respond (ms) for trial 37,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000037_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000037_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000037_CORR,CPWD.q37_corr,Response correct for trial 37,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000038_RESP,CPWD.q38_resp,Response for trial 38,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000038_TTR,CPWD.q38_ttr,Time to respond (ms) for trial 38,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000038_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000038_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000038_CORR,CPWD.q38_corr,Response correct for trial 38,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000039_RESP,CPWD.q39_resp,Response for trial 39,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000039_TTR,CPWD.q39_ttr,Time to respond (ms) for trial 39,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000039_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000039_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000039_CORR,CPWD.q39_corr,Response correct for trial 39,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000040_RESP,CPWD.q40_resp,Response for trial 40,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000040_TTR,CPWD.q40_ttr,Time to respond (ms) for trial 40,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000040_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000040_QID,,Question ID for Stimuli Presented,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000040_CORR,CPWD.q40_corr,Response correct for trial 40,Penn Word Memory Test - Delayed Version,,
MPRACT.ScorVers,MPRACT,Current Programming Version of the Scoring Code,Motor Praxis Test,,
MPRACT.status,MPRACT.status,Status Code Assigned to Mouse Praxis ,Motor Praxis Test,C; C1; C2; C3; I; I1; I2; I3; T;,C = Complete; C1 = Complete Good Quality Data; C2 = Complete Questionable Data; C3 = Complete Bad Data; I = Incomplete; I1 = Incomplete Good Quality Data; I2 = Incomplete Questionable Data; I3 = Complete Bad Data; 
MPRACT.valid_code,MPRACT.valid_code,Automated Validaton Code Assigned,Motor Praxis Test,VC; V; F; 0; S; N; C; X; ,"VC = Computer Validated; V = Valid; F = Valid, problem occurred which affected performance, for a limited number of responses/mild to moderate effect; 0 = No autovalidation rule available;  S=Skipped; N=Not Valid; C = Assessor Comment; X = Excluded"
MPRACT.MP1RT,MPRACT.MP1RT,Median Response Time for Mouse Praxis Trial 1 (ms),Motor Praxis Test,,
MPRACT.MP2,MPRACT.MP2,Mouse Praxis Correct Responses Trial 2,Motor Praxis Test,,
MPRACT.MP2RTCR,MPRACT.MP2RTCR,Median Response Time for Mouse Praxis Trial 2 Correct Responses (ms),Motor Praxis Test,,
PCET_A.ScorVers,PCET,Current Programming Version of the Scoring Code,Penn Conditional Exclusion Test - Form A,,
PCET_A.status,PCET.status,Status Code Assigned to PCET,Penn Conditional Exclusion Test - Form A,C; C1; C2; C3; I; I1; I2; I3; T;,C = Complete; C1 = Complete Good Quality Data; C2 = Complete Questionable Data; C3 = Complete Bad Data; I = Incomplete; I1 = Incomplete Good Quality Data; I2 = Incomplete Questionable Data; I3 = Complete Bad Data; 
PCET_A.valid_code,PCET.valid_code,Automated Validaton Code Assigned,Penn Conditional Exclusion Test - Form A,VC; V; F; 0; S; N; C; X; ,"VC = Computer Validated; V = Valid; F = Valid, problem occurred which affected performance, for a limited number of responses/mild to moderate effect; 0 = No autovalidation rule available;  S=Skipped; N=Not Valid; C = Assessor Comment; X = Excluded"
PCET_A.PCET_CR,PCET.PCETCR,PCET Number Correct Responses,Penn Conditional Exclusion Test - Form A,,
PCET_A.PCET_RTCR,PCET.PCETRTCR,Median Response Time for PCET Correct Responses (ms),Penn Conditional Exclusion Test - Form A,,
PCET_A.PCET_ER,PCET.PCETER,PCET Number Incorrect Responses,Penn Conditional Exclusion Test - Form A,,
PCET_A.PCET_RTER,PCET.PCETRTER,Median Response Time for PCET Incorrect Responses (ms),Penn Conditional Exclusion Test - Form A,,
PCET_A.PCET_WIS_PER_ER,PCET.PER_ER,PCET Number of Perseverative Errors,Penn Conditional Exclusion Test - Form A,,
